latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
31.73749,75.6151,357.79,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.24,34.04,D
31.73673,75.61071,352.53,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,310.35,34.04,D
31.7352,75.60191,343.84,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,313.43,6.93,D
31.74015,75.60989,345.79,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,311.46,16.28,D
31.73939,75.60549,342.66,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,314.32,14.53,D
31.73786,75.5967,346.17,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,312.96,4.85,D
31.74282,75.60468,355.2,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,314.78,14.53,D
27.95879,77.42885,339.77,0.4,0.37,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,312.31,4.21,D
28.12788,77.30534,342.57,0.4,0.37,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,313.15,8.38,D
28.32123,77.01418,338.97,0.41,0.37,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.36,2.27,D
